Region_splitted;Variable_NeW;Sector_OMNIA;Share
AU;DFINENPBG;AGR;0.0
AU;DFINENPCOMB;AGR;0.0
AU;DFINENPELEC;AGR;0.460712320477
AU;DFINENPGAS;AGR;0.499356307464
AU;DFINENPGEO;AGR;0.0
AU;DFINENPHEAT;AGR;0.0
AU;DFINENPLBF;AGR;0.0
AU;DFINENPMW;AGR;0.0
AU;DFINENPOIL;AGR;0.803168520168
AU;DFINENPSBM;AGR;0.0
AU;DFINENPSOLT;AGR;0.0
AU;DFINENPOIL;AVB;0.795398577234
AU;DFINENPOIL;AVD;0.896175468232
AU;DFINENPBG;ICH;0.0
AU;DFINENPCOMB;ICH;0.997702858304
AU;DFINENPELEC;ICH;0.904849746479
AU;DFINENPGAS;ICH;0.557601673356
AU;DFINENPHEAT;ICH;0.0
AU;DFINENPIW;ICH;1.0
AU;DFINENPLBF;ICH;0.0
AU;DFINENPMW;ICH;0.0
AU;DFINENPOIL;ICH;1.0
AU;DFINENPSBM;ICH;1.0
AU;DFINENPSOLT;ICH;0.0
AU;DFINENPBG;ICM;0.0
AU;DFINENPCOMB;ICM;0.0
AU;DFINENPELEC;ICM;0.855327651243
AU;DFINENPGAS;ICM;0.853288378967
AU;DFINENPHEAT;ICM;0.0
AU;DFINENPIW;ICM;0.0
AU;DFINENPLBF;ICM;0.0
AU;DFINENPOIL;ICM;0.801254382356
AU;DFINENPSBM;ICM;0.0
AU;DFINENPSOLT;ICM;0.0
AU;DFINENPCOMB;IIS;0.869715435589
AU;DFINENPELEC;IIS;0.724744432127
AU;DFINENPGAS;IIS;0.987954510488
AU;DFINENPHEAT;IIS;0.0
AU;DFINENPIW;IIS;0.0
AU;DFINENPLBF;IIS;0.0
AU;DFINENPMW;IIS;0.0
AU;DFINENPOIL;IIS;1.0
AU;DFINENPSBM;IIS;0.0
AU;DFINENPSOLT;IIS;0.0
AU;DFINENPBG;INF;0.0
AU;DFINENPCOMB;INF;1.0
AU;DFINENPELEC;INF;0.859952252159
AU;DFINENPGAS;INF;0.979158895874
AU;DFINENPHEAT;INF;0.0
AU;DFINENPIW;INF;0.0
AU;DFINENPLBF;INF;0.0
AU;DFINENPOIL;INF;1.0
AU;DFINENPSBM;INF;1.0
AU;DFINENPSOLT;INF;0.0
AU;DFINENPBG;INM;1.0
AU;DFINENPCOMB;INM;0.814023475663
AU;DFINENPELEC;INM;0.920929260781
AU;DFINENPGAS;INM;0.960140104573
AU;DFINENPHEAT;INM;0.0
AU;DFINENPIW;INM;0.0
AU;DFINENPLBF;INM;0.0
AU;DFINENPMW;INM;0.0
AU;DFINENPOIL;INM;1.0
AU;DFINENPSBM;INM;1.0
AU;DFINENPSOLT;INM;0.0
AU;DFINENPBG;IOI;0.94880829903
AU;DFINENPCOMB;IOI;0.51989888187
AU;DFINENPELEC;IOI;0.836097039809
AU;DFINENPGAS;IOI;0.674227757472
AU;DFINENPGEO;IOI;0.0
AU;DFINENPHEAT;IOI;0.0
AU;DFINENPIW;IOI;1.0
AU;DFINENPLBF;IOI;0.0
AU;DFINENPMW;IOI;0.0
AU;DFINENPOIL;IOI;0.902959616167
AU;DFINENPSBM;IOI;0.83812027863
AU;DFINENPSOLT;IOI;0.0
AU;DFINENPGAS;NAB;0.0
AU;DFINENPLBF;NAB;0.0
AU;DFINENPOIL;NAB;0.700759550865
AU;DFINENPGAS;NAD;0.0
AU;DFINENPLBF;NAD;0.0
AU;DFINENPOIL;NAD;0.869603252116
AU;DFINENPCOMB;OTH;0.0
AU;DFINENPELEC;OTH;0.0
AU;DFINENPGAS;OTH;0.0
AU;DFINENPHEAT;OTH;0.0
AU;DFINENPLBF;OTH;0.0
AU;DFINENPOIL;OTH;1.0
AU;DFINENPSBM;OTH;1.0
AU;DFINENPSOLT;OTH;0.0
AU;DFINENPBG;OTH OwnUses;0.0
AU;DFINENPCOMB;OTH OwnUses;0.914141392663
AU;DFINENPELEC;OTH OwnUses;0.968744790575
AU;DFINENPGAS;OTH OwnUses;0.975307777033
AU;DFINENPHEAT;OTH OwnUses;0.0
AU;DFINENPIW;OTH OwnUses;0.0
AU;DFINENPLBF;OTH OwnUses;0.0
AU;DFINENPMW;OTH OwnUses;0.0
AU;DFINENPOIL;OTH OwnUses;0.929537260694
AU;DFINENPSBM;OTH OwnUses;0.0
AU;DFINENPBG;OTH_TR;0.0
AU;DFINENPELEC;OTH_TR;1.0
AU;DFINENPGAS;OTH_TR;1.0
AU;DFINENPLBF;OTH_TR;0.0
AU;DFINENPOIL;OTH_TR;1.0
AU;DFINENPBG;PWR OwnUses;0.0
AU;DFINENPCOMB;PWR OwnUses;0.0
AU;DFINENPELEC;PWR OwnUses;0.900599123328
AU;DFINENPGAS;PWR OwnUses;0.0
AU;DFINENPHEAT;PWR OwnUses;0.0
AU;DFINENPLBF;PWR OwnUses;0.0
AU;DFINENPMW;PWR OwnUses;0.0
AU;DFINENPOIL;PWR OwnUses;1.0
AU;DFINENPSBM;PWR OwnUses;0.0
AU;DFINENPELEC;Pipeline;1.0
AU;DFINENPGAS;Pipeline;1.0
AU;DFINENPCOMB;RAI;0.0
AU;DFINENPELEC;RAI;0.977719229219
AU;DFINENPLBF;RAI;0.0
AU;DFINENPOIL;RAI;1.0
AU;DFINENPBG;RES;0.0
AU;DFINENPCOMB;RES;0.0786116020024
AU;DFINENPELEC;RES;0.827203847528
AU;DFINENPGAS;RES;0.958514773618
AU;DFINENPGEO;RES;0.0
AU;DFINENPHEAT;RES;0.0
AU;DFINENPLBF;RES;0.0
AU;DFINENPOIL;RES;0.766676491675
AU;DFINENPSBM;RES;0.466066568433
AU;DFINENPSOLT;RES;0.97919474162
AU;DFINENPBG;ROA;0.0
AU;DFINENPELEC;ROA;0.402547834675
AU;DFINENPGAS;ROA;1.0
AU;DFINENPLBF;ROA;0.970037930831
AU;DFINENPOIL;ROA;0.853178691635
AU;DFINENPBG;SRV;0.650297619048
AU;DFINENPCOMB;SRV;0.453287562521
AU;DFINENPELEC;SRV;0.879421397764
AU;DFINENPGAS;SRV;0.842999831984
AU;DFINENPGEO;SRV;0.0
AU;DFINENPHEAT;SRV;0.0
AU;DFINENPIW;SRV;0.0
AU;DFINENPLBF;SRV;0.0
AU;DFINENPMW;SRV;0.0
AU;DFINENPOIL;SRV;0.735168732067
AU;DFINENPSBM;SRV;1.0
AU;DFINENPSOLT;SRV;1.0
AU;DINTENPCOMB;Blast furnace;0.770349196091
AU;DINTENPOIL;Blast furnace;0.0
AU;DINTENPSBM;Blast furnace;0.0
AU;DINTENPCOMB;Coke oven;0.860807823513
AU;DINTENPGAS;Coke oven;0.0
AU;DINTENPOIL;Coke oven;0.0
AU;DINTENPBG;HEAT;0.0
AU;DINTENPCOMB;HEAT;0.0
AU;DINTENPGAS;HEAT;0.0
AU;DINTENPGEO;HEAT;0.0
AU;DINTENPHEAT;HEAT;0.0
AU;DINTENPIW;HEAT;0.0
AU;DINTENPLBF;HEAT;0.0
AU;DINTENPMW;HEAT;0.0
AU;DINTENPOIL;HEAT;0.0
AU;DINTENPSBM;HEAT;0.0
AU;DINTENPSOLT;HEAT;0.0
AU;DINTENPBG;Other;0.0
AU;DINTENPCOMB;Other;0.0
AU;DINTENPGAS;Other;1.0
AU;DINTENPLBF;Other;0.0
AU;DINTENPOIL;Other;0.92453275922
AU;DINTENPSBM;Other;0.0
AU;DINTENPBG;PG;0.828745970484
AU;DINTENPCOMB;PG;0.985819464165
AU;DINTENPGAS;PG;0.919680784452
AU;DINTENPGEO;PG;0.0
AU;DINTENPHEAT;PG;0.0
AU;DINTENPIW;PG;0.0
AU;DINTENPLBF;PG;0.0
AU;DINTENPMW;PG;0.0
AU;DINTENPOIL;PG;0.999148859795
AU;DINTENPSBM;PG;0.638173024121
AU;DINTENPSOLT;PG;1.0
AU;DINTENPOIL;Refineries;0.801343930241
AU;DNONENPCOMB;Non energy;0.0
AU;DNONENPGAS;Non energy;0.499289389247
AU;DNONENPOIL;Non energy;0.917394150371
AU;DSTOCKPBG;BG;0.0
AU;DSTOCKPCOMB;COMB;1.12511623885
AU;DSTOCKPGAS;GAS;1.04955974865
AU;DSTOCKPIW;IW;0.0
AU;DSTOCKPLBF;LBF;0.0
AU;DSTOCKPMW;MW;0.0
AU;DSTOCKPOIL;OIL;1.88604787567
AU;DSTOCKPSBM;SBM;0.0
AU;EXPPBG;BG;0.0
AU;EXPPCOMB;COMB;0.996076018994
AU;EXPPELEC;ELEC;0.0
AU;EXPPGAS;GAS;1.0
AU;EXPPLBF;LBF;0.0
AU;EXPPMW;MW;0.0
AU;EXPPOIL;OIL;0.925353922174
AU;EXPPSBM;SBM;0.0
AU;IMPPBG;BG;0.0
AU;IMPPCOMB;COMB;0.39953890715
AU;IMPPELEC;ELEC;0.0
AU;IMPPGAS;GAS;1.0
AU;IMPPHEAT;HEAT;0.0
AU;IMPPIW;IW;0.0
AU;IMPPLBF;LBF;0.0
AU;IMPPMW;MW;0.0
AU;IMPPOIL;OIL;0.853716250483
AU;IMPPSBM;SBM;0.0
AU;PRODPBG;Production;0.829476247611
AU;PRODPCOMB;Production;0.992067265384
AU;PRODPGAS;Production;0.967308767683
AU;PRODPGEO;Production;0.0
AU;PRODPHYD;Production;0.384162949186
AU;PRODPIW;Production;1.0
AU;PRODPLBF;Production;0.972180291541
AU;PRODPMW;Production;0.0
AU;PRODPNUC;Production;0.0
AU;PRODPOIL;Production;0.851585318804
AU;PRODPOTH_URN;Production;0.0
AU;PRODPPV;Production;0.991450572193
AU;PRODPSBM;Production;0.811407841547
AU;PRODPTID;Production;0.0
